Total Votes,Upvotes,Body
100,76,The boss from my last job.
60,54,The boss from my first job.
30,25,Cloudy
60,54,Sunny
30,27,Too early
19,1,Midnight
71,24,a development platform for building software as a service
314,4,the uppermost point. (e.g.) vertex the apex of a mountain
23,6,"Apex triggers enable you to perform custom actions before or after events to records in Salesforce, such as insertions, updates, or deletions."
67,43,A button that starts a method
132,64,@isTest
64,12,@Testing
13,1,basic building blocks for application developers
56,54,"consists of Visualforce tags, HTML, JavaScript, or any other Web-enabled code embedded"
54,43,"Component, Controller, Helper, Style, Design, Renderer, SVG."
3,2,"CSV, DOC, JPEG"
23,20,"a modern, general-purpose programming language that can be used to perform a wide range of tasks and objectives that span over a variety of professions."
45,30,A note on my piano
32,12,A better version of C.
14,10,A general purpose programming language
53,32,Object Oriented
43,20,Portable
23,10,"Worflows, processes"
13,5,"Approval process, Flows"
42,25,an open-source JavaScript library that is used for building user interfaces specifically for single-page applications.
52,29,respond or behave in a particular way in response to something.
76,50,You don't know in which object or field the data resides and you want to find it in the most efficient way possible.
24,20,"You want to retrieve multiple objects and fields efficiently, and the objects may or may not be related to one another."
54,38,[SELECT Id FROM Contact]
34,18,[SELECT Id FROM Account]
12,8,provides a lightweight container that can be activated without using web server or application server software
65,32,move or jump suddenly or rapidly upward or forward.
14,8,"provides highly productive development tools for JavaScript IDEs and practices, like static checking"
23,11,"simplifies JavaScript code, making it easier to read and debug"
13,5,Markup vs Styling
56,29,Hypertext Markup Language vs Cascading Style Sheets
123,64,"it was originally intended for organizations involved in networking technologies, such as Internet service providers and other infrastructure companies"
54,20,I don't know
76,35,Not sure
16,8,I have no idea.
45,27,"is primarily used for non-blocking, event-driven servers, due to its single-threaded nature."
164,78,a point at which lines or pathways intersect or branch; a central or connecting point
145,65,Aura components
64,31,Aura component helper classes.
145,88,A kind of snake
157,88,Programming language
1351,483,The third letter in the alphabet.
34,10,a programming language
54,24,There can only be 2 sith: a lord and apprentice.
32,4,"Sorry, I'm a star trek fan"
